longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity,rooms_per_household,bedrooms_per_room,population_per_household,income_x_age,ocean_proximity_label,ocean_proximity_<1H OCEAN,ocean_proximity_INLAND,ocean_proximity_ISLAND,ocean_proximity_NEAR BAY,ocean_proximity_NEAR OCEAN,total_rooms_log,total_bedrooms_log,population_log,households_log,median_house_value_log,population_per_household_log
-122.23,37.88,41.0,880.0,129.0,322.0,126.0,8.3252,452600.0,NEAR BAY,6.984126984126984,0.14659090909090908,2.5555555555555554,341.33320000000003,3,0.0,0.0,0.0,1.0,0.0,6.78105762593618,4.867534450455582,5.777652323222656,4.844187086458591,13.022766221635607,1.2685113254635072
-122.22,37.86,21.0,7099.0,1106.0,2401.0,1138.0,8.3014,358500.0,NEAR BAY,6.238137082601054,0.15579659106916466,2.109841827768014,174.3294,3,0.0,0.0,0.0,1.0,0.0,8.867850063029406,7.009408932708637,7.784057002639929,7.037905963447182,12.7896867284182,1.1345718656591872
-122.24,37.85,52.0,1467.0,190.0,496.0,177.0,7.2574,352100.0,NEAR BAY,8.288135593220339,0.12951601908657123,2.8022598870056497,377.3848,3,0.0,0.0,0.0,1.0,0.0,7.291656209174461,5.25227342804663,6.208590026096629,5.181783550292085,12.771673345241355,1.3355955970708986
-122.25,37.85,52.0,1274.0,235.0,558.0,219.0,5.6431,341300.0,NEAR BAY,5.8173515981735155,0.18445839874411302,2.547945205479452,293.4412,3,0.0,0.0,0.0,1.0,0.0,7.150701457592526,5.4638318050256105,6.326149473155099,5.393627546352362,12.740520064864135,1.2663686205511466
-122.25,37.85,52.0,1627.0,280.0,565.0,259.0,3.8462,342200.0,NEAR BAY,6.281853281853282,0.1720958819913952,2.1814671814671813,200.0024,3,0.0,0.0,0.0,1.0,0.0,7.395107546562485,5.638354669333745,6.338594078203183,5.560681631015528,12.74315356270364,1.1573424682099338
-122.25,37.85,52.0,919.0,213.0,413.0,193.0,4.0368,269700.0,NEAR BAY,4.761658031088083,0.23177366702937977,2.139896373056995,209.91360000000003,3,0.0,0.0,0.0,1.0,0.0,6.824373670043086,5.365976015021851,6.025865973825314,5.267858159063328,12.505069216944454,1.1441897971644288
-122.25,37.84,52.0,2535.0,489.0,1094.0,514.0,3.6591,299200.0,NEAR BAY,4.9319066147859925,0.19289940828402366,2.1284046692607004,190.2732,3,0.0,0.0,0.0,1.0,0.0,7.8383433155571165,6.194405391104672,6.9985096422506015,6.244166900663736,12.608870867322864,1.1405231842837467
-122.25,37.84,52.0,3104.0,687.0,1157.0,647.0,3.12,241400.0,NEAR BAY,4.797527047913447,0.22132731958762886,1.7882534775888717,162.24,3,0.0,0.0,0.0,1.0,0.0,8.040768994367578,6.5337888379333435,7.05444965813294,6.473890696352274,12.39421473013906,1.0254154061216685
-122.26,37.84,42.0,2555.0,665.0,1206.0,595.0,2.0804,226700.0,NEAR BAY,4.294117647058823,0.2602739726027397,2.026890756302521,87.3768,3,0.0,0.0,0.0,1.0,0.0,7.846198815497425,6.501289670540389,7.095893221097532,6.39024066706535,12.331387247601905,1.1075359396303264
-122.25,37.84,52.0,3549.0,707.0,1551.0,714.0,3.6912,261100.0,NEAR BAY,4.970588235294118,0.1992110453648915,2.172268907563025,191.9424,3,0.0,0.0,0.0,1.0,0.0,8.174702882469461,6.56244409369372,7.347299700743164,6.5722825426940075,12.472662584630097,1.15444707557755
-122.26,37.85,52.0,2202.0,434.0,910.0,402.0,3.2031,281500.0,NEAR BAY,5.477611940298507,0.19709355131698456,2.263681592039801,166.5612,3,0.0,0.0,0.0,1.0,0.0,7.697575346802343,6.075346031088684,6.814542897259958,5.998936561946683,12.547891278953442,1.1828558808850131
-122.26,37.85,52.0,3503.0,752.0,1504.0,734.0,3.2705,241800.0,NEAR BAY,4.772479564032698,0.2146731373108764,2.0490463215258856,170.066,3,0.0,0.0,0.0,1.0,0.0,8.161660452056282,6.6240652277998935,7.316548177182976,6.5998704992128365,12.395870352803575,1.114828860257355
-122.26,37.85,52.0,2491.0,474.0,1098.0,468.0,3.075,213500.0,NEAR BAY,5.322649572649572,0.1902850260939382,2.3461538461538463,159.9,3,0.0,0.0,0.0,1.0,0.0,7.820840879907344,6.163314804034641,7.002155954403621,6.150602768446279,12.271396795480596,1.2078115806331018
-122.26,37.84,52.0,696.0,191.0,345.0,174.0,2.6736,191300.0,NEAR BAY,4.0,0.2744252873563218,1.9827586206896552,139.0272,3,0.0,0.0,0.0,1.0,0.0,6.546785410760524,5.2574953720277815,5.846438775057725,5.1647859739235145,12.161603382806213,1.0928485839513595
-122.26,37.85,52.0,2643.0,626.0,1212.0,620.0,1.9167,159200.0,NEAR BAY,4.262903225806451,0.23685206205069997,1.9548387096774194,99.6684,3,0.0,0.0,0.0,1.0,0.0,7.880048200971577,6.440946540632921,7.10085190894405,6.431331081933479,11.977922833779727,1.0834440671949384
-122.26,37.85,50.0,1120.0,283.0,697.0,264.0,2.125,140000.0,NEAR BAY,4.242424242424242,0.2526785714285714,2.640151515151515,106.25,3,0.0,0.0,0.0,1.0,0.0,7.02197642307216,5.648974238161206,6.548219102762372,5.579729825986222,11.849404844423074,1.2920253058239763
-122.27,37.85,52.0,1966.0,347.0,793.0,331.0,2.775,152500.0,NEAR BAY,5.9395770392749245,0.17650050864699898,2.395770392749245,144.29999999999998,3,0.0,0.0,0.0,1.0,0.0,7.584264818389059,5.8522024797744745,6.677083461247136,5.805134968916488,11.934926432385152,1.2225306550765735
-122.27,37.85,52.0,1228.0,293.0,648.0,303.0,2.1202,155500.0,NEAR BAY,4.052805280528053,0.23859934853420195,2.1386138613861387,110.2504,3,0.0,0.0,0.0,1.0,0.0,7.113956109566034,5.683579767338681,6.47543271670409,5.717027701406222,11.954407441448915,1.1437812570360213
-122.26,37.84,50.0,2239.0,455.0,990.0,419.0,1.9911,158700.0,NEAR BAY,5.343675417661098,0.20321572130415363,2.3627684964200477,99.555,3,0.0,0.0,0.0,1.0,0.0,7.7142311448490855,6.1224928095143865,6.898714534329988,6.040254711277414,11.974777207691876,1.2127645919765424
-122.27,37.84,52.0,1503.0,298.0,690.0,275.0,2.6033,162900.0,NEAR BAY,5.465454545454546,0.19827012641383898,2.5090909090909093,135.3716,3,0.0,0.0,0.0,1.0,0.0,7.315883504509785,5.700443573390687,6.53813982376767,5.62040086571715,12.000897933306716,1.2553570036724147
-122.27,37.85,40.0,751.0,184.0,409.0,166.0,1.3578,147500.0,NEAR BAY,4.524096385542169,0.24500665778961384,2.463855421686747,54.312,3,0.0,0.0,0.0,1.0,0.0,6.62273632394984,5.220355825078324,6.016157159698354,5.117993812416755,11.901590234400047,1.2423822524408072
-122.27,37.85,42.0,1639.0,367.0,929.0,366.0,1.7135,159800.0,NEAR BAY,4.478142076502732,0.2239170225747407,2.5382513661202184,71.967,3,0.0,0.0,0.0,1.0,0.0,7.402451520818244,5.908082938168931,6.835184586147301,5.905361848054571,11.98168457011701,1.2636326407322718
-122.27,37.84,52.0,2436.0,541.0,1015.0,478.0,1.725,113900.0,NEAR BAY,5.096234309623431,0.22208538587848933,2.1234309623430963,89.7,3,0.0,0.0,0.0,1.0,0.0,7.798523053625206,6.295266001439646,6.923628628138427,6.171700597410915,11.643084929027989,1.1389320650477344
-122.27,37.84,52.0,1688.0,337.0,853.0,325.0,2.1806,99700.0,NEAR BAY,5.193846153846154,0.19964454976303317,2.624615384615385,113.3912,3,0.0,0.0,0.0,1.0,0.0,7.4318919168078,5.823045895483019,6.74993119378857,5.786897381366708,11.5099309859899,1.2877481818817946
-122.27,37.84,52.0,2224.0,437.0,1006.0,422.0,2.6,132600.0,NEAR BAY,5.270142180094787,0.19649280575539568,2.3838862559241707,135.20000000000002,3,0.0,0.0,0.0,1.0,0.0,7.707512194600341,6.082218910376446,6.914730892718563,6.0473721790462776,11.795099898183592,1.219024828863518
-122.28,37.85,41.0,535.0,123.0,317.0,119.0,2.4038,107500.0,NEAR BAY,4.495798319327731,0.22990654205607478,2.6638655462184873,98.55579999999999,3,0.0,0.0,0.0,1.0,0.0,6.284134161070802,4.820281565605037,5.762051382780177,4.787491742782046,11.58525542883217,1.2985187502375048
-122.28,37.85,49.0,1130.0,244.0,607.0,239.0,2.4597,93800.0,NEAR BAY,4.7280334728033475,0.215929203539823,2.5397489539748954,120.52530000000002,3,0.0,0.0,0.0,1.0,0.0,7.030857476116121,5.501258210544727,6.410174881966167,5.480638923341991,11.448930795918299,1.2640558076747126
-122.28,37.85,52.0,1898.0,421.0,1102.0,397.0,1.808,105500.0,NEAR BAY,4.7808564231738035,0.22181243414120128,2.7758186397984885,94.016,3,0.0,0.0,0.0,1.0,0.0,7.549082710812286,6.045005314036012,7.005789019253503,5.986452005284438,11.566475710526321,1.3286172174154072
-122.28,37.84,50.0,2082.0,492.0,1131.0,473.0,1.6424,108900.0,NEAR BAY,4.40169133192389,0.23631123919308358,2.3911205073995774,82.12,3,0.0,0.0,0.0,1.0,0.0,7.641564441260972,6.20050917404269,7.0317412587631285,6.161207321695077,11.598194491615347,1.2211603999345269
-122.28,37.84,52.0,729.0,160.0,395.0,155.0,1.6875,132000.0,NEAR BAY,4.703225806451613,0.2194787379972565,2.5483870967741935,87.75,3,0.0,0.0,0.0,1.0,0.0,6.593044534142437,5.081404364984463,5.981414211254481,5.049856007249537,11.790564777297387,1.26649316130727
-122.28,37.84,49.0,1916.0,447.0,863.0,378.0,1.9274,122300.0,NEAR BAY,5.068783068783069,0.23329853862212943,2.2830687830687832,94.4426,3,0.0,0.0,0.0,1.0,0.0,7.558516743045645,6.104793232414985,6.761572768804055,5.937536205082426,11.714240498256716,1.1887785895850196
-122.28,37.84,52.0,2153.0,481.0,1168.0,441.0,1.9615,115200.0,NEAR BAY,4.882086167800454,0.22340919647004182,2.6485260770975056,101.998,3,0.0,0.0,0.0,1.0,0.0,7.675081857716334,6.1779441140506,7.063903961472068,6.091309882077698,11.654433707761807,1.2943232715455373
-122.27,37.84,48.0,1922.0,409.0,1026.0,335.0,1.7969,110400.0,NEAR BAY,5.737313432835821,0.21279916753381894,3.062686567164179,86.2512,3,0.0,0.0,0.0,1.0,0.0,7.56164174558878,6.016157159698354,6.934397209928558,5.817111159963204,11.611874470755124,1.4018444708263995
-122.27,37.83,49.0,1655.0,366.0,754.0,329.0,1.375,104900.0,NEAR BAY,5.0303951367781155,0.22114803625377644,2.291793313069909,67.375,3,0.0,0.0,0.0,1.0,0.0,7.412160334945205,5.905361848054571,6.626717749249025,5.799092654460526,11.560772327227417,1.1914324962356186
-122.27,37.83,51.0,2665.0,574.0,1258.0,536.0,2.7303,109700.0,NEAR BAY,4.972014925373134,0.2153846153846154,2.3470149253731343,139.24530000000001,3,0.0,0.0,0.0,1.0,0.0,7.888334500738654,6.354370040797351,7.138073034044347,6.285998094508865,11.605513761992055,1.2080688815479395
-122.27,37.83,49.0,1215.0,282.0,570.0,264.0,1.4861,97200.0,NEAR BAY,4.6022727272727275,0.23209876543209876,2.159090909090909,72.8189,3,0.0,0.0,0.0,1.0,0.0,7.103322062526113,5.645446897643238,6.3473892096560105,5.579729825986222,11.484536278461452,1.1502842992124307
-122.27,37.83,48.0,1798.0,432.0,987.0,374.0,1.0972,104500.0,NEAR BAY,4.807486631016043,0.24026696329254726,2.6390374331550803,52.6656,3,0.0,0.0,0.0,1.0,0.0,7.4949862339505335,6.07073772800249,6.895682697747868,5.926926025970411,11.556951919719207,1.2917192052369342
-122.28,37.83,52.0,1511.0,390.0,901.0,403.0,1.4103,103900.0,NEAR BAY,3.7493796526054592,0.25810721376571805,2.235732009925558,73.3356,3,0.0,0.0,0.0,1.0,0.0,7.321188556739478,5.968707559985366,6.804614520062624,6.0014148779611505,11.551193801680078,1.1742551805399153
